generation,mean_error,min_error,mean_non_struct_ef,min_non_struct_ef,mean_non_sem_ef,min_non_sem_ef
578,11.282,4.5,0.779567,0.4,0.790714,0.4
579,11.148,2.1,0.772659,0.571429,0.786816,0.571429
580,11.876,3.2,0.773565,0.333333,0.781192,0.333333
581,11.651,3.6,0.781256,0.142857,0.790611,0.142857
582,12.087,4.1,0.809479,0.625,0.816562,0.625
583,10.856,4.7,0.797473,0.526316,0.810762,0.625
584,11.058,4.6,0.795761,0.619048,0.803294,0.625
585,11.054,3.6,0.800065,0.571429,0.80855,0.625
586,10.347,4.1,0.809307,0.625,0.815491,0.625
587,10.607,3.3,0.796266,0.625,0.801917,0.625
588,10.968,3.1,0.796988,0.625,0.801926,0.625
589,11.165,4.1,0.791613,0.5,0.798433,0.5
590,11.939,4.2,0.794334,0.545455,0.8025,0.583333
591,11.607,3.8,0.784502,0.583333,0.792025,0.583333
592,11.489,1.9,0.78575,0.578947,0.799984,0.631579
593,11.76,1.9,0.783682,0.4,0.798256,0.4
594,11.189,1.9,0.784101,0.5,0.803013,0.5
595,10.888,1.9,0.767049,0.538462,0.78765,0.615385
596,9.548,1.9,0.75631,0.538462,0.777672,0.578947
597,10.591,1.9,0.760304,0.578947,0.782325,0.578947
598,8.287,1.9,0.751821,0.578947,0.771216,0.578947
599,7.368,1.9,0.746067,0.272727,0.758776,0.444444
600,8.663,1.6,0.746481,0.5,0.760246,0.5
601,8.347,1.6,0.745185,0.5,0.757935,0.5
602,7.494,1.6,0.718324,0.5,0.732871,0.5
603,6.738,1.6,0.69339,0.5,0.709562,0.5
604,6.407,1.6,0.691239,0.5,0.707367,0.5
605,5.356,1.6,0.678656,0.5,0.69485,0.5
606,7.528,1.6,0.67298,0.5,0.697122,0.5
607,7.309,1.6,0.667988,0.5,0.696922,0.5
608,5.154,1.6,0.646059,0.5,0.666329,0.5
609,6.904,1.6,0.650676,0.4375,0.672834,0.4375
610,3.656,1.6,0.626588,0.5,0.644291,0.5
611,4.94,1.6,0.608487,0.333333,0.631614,0.333333
612,5.507,1.3,0.600255,0.333333,0.619805,0.333333
613,5.909,1.3,0.601668,0.384615,0.617581,0.384615
614,6.791,1.3,0.618791,0.384615,0.632979,0.384615
615,6.867,1.3,0.610527,0.384615,0.628488,0.384615
616,6.449,1.3,0.594462,0.384615,0.607597,0.384615
617,7.344,1.4,0.630241,0.375,0.643687,0.4375
618,8.915,1.4,0.643765,0.4,0.662501,0.428571
619,7.61,1.4,0.640273,0.357143,0.659209,0.428571
620,8.233,1.4,0.652949,0.285714,0.671156,0.285714
621,8.064,1.4,0.63736,0.5,0.657895,0.5
622,7.695,1.2,0.629758,0.4375,0.649552,0.5
623,7.583,1.2,0.633445,0.357143,0.650615,0.428571
624,7.496,1.2,0.643768,0.428571,0.658649,0.5
625,7.078,1.2,0.613483,0.428571,0.628986,0.428571
626,7.581,1.2,0.614239,0.357143,0.642996,0.5
627,5.979,1.2,0.614527,0.428571,0.633956,0.5
628,7,1.4,0.616897,0.357143,0.641811,0.5
629,6.772,1,0.63103,0.357143,0.649667,0.4
630,6.009,1,0.599639,0.4,0.610738,0.4
631,7.417,1,0.611109,0.4,0.626105,0.4
632,6.248,1,0.591869,0.4,0.615684,0.4
633,5.545,1,0.588686,0.4,0.607242,0.4
634,7.286,1,0.582008,0.357143,0.606832,0.4
635,7.003,1,0.562484,0.3,0.592277,0.384615
636,5.549,1,0.535426,0.357143,0.555664,0.4
637,6.33,1,0.524912,0.2,0.547847,0.2
638,6.708,1,0.546225,0.285714,0.568048,0.4
639,6.72,1,0.553659,0.3,0.577772,0.3
640,5.689,1,0.548331,0.214286,0.572388,0.375
641,6.19,1,0.518598,0.2,0.542202,0.3
642,5.6,1,0.498674,0.3,0.52628,0.375
643,7.175,1,0.499123,0.3,0.523704,0.4
644,7.905,1,0.512129,0.3,0.545983,0.333333
645,6.959,1,0.523563,0.3,0.556003,0.375
646,6.449,1,0.515966,0.307692,0.547255,0.4
647,7.024,1,0.520506,0.307692,0.546468,0.384615
648,7.923,1,0.505319,0.307692,0.542476,0.4
649,7.277,1,0.501777,0.3,0.533782,0.3
650,7.484,1,0.494272,0.25,0.528849,0.25
